"","Phylum","Climate - P","Climate - Eta","Source - P","Source - Eta","ClimateXSource - P","ClimateXSource - Eta","Arid dust vs Arid limestone","Arid dust vs Hyperarid dolomite","Hyperarid loess soil vs Arid limestone","Hyperarid loess soil vs Hyperarid dolomite","Hyperarid dust vs Hyperarid dolomite","Arid limestone vs Hyperarid dolomite","Arid limestone vs Arid loess soil","Hyperarid dolomite vs Arid loess soil"
"1","Proteobacteria",0.00705953119550506,0.341751673931605,0.2451066209653,0.47969472280891,0.92769241523835,0.00220015278838811,0.302571342655182,0.927264473525232,0.109075659518372,0.613431372955166,0.160936949659401,0.0182968377936431,0.480688769443473,0.0654453957110233
"2","Deinococcus-Thermus",0.214852361287004,0.146103896103896,0.00739330591109766,0.47969472280891,0.92769241523835,0.0228622358034122,0.160936949659401,0.160936949659401,1,0.160193000869316,0.160936949659401,0.321160847458368,0.0387877962568297,0.0259649741030827
"3","Bacteroidetes",0.807309337195503,0.0178357974205724,0.0519717371011088,0.47969472280891,0.92769241523835,0.0228622358034122,0.302571342655182,0.784224980878633,0.358735259843182,0.255465706779662,0.181036200791168,0.304179548556698,0.358735259843182,0.807993145725734
"4","Cyanobacteria",0.419498881744029,0.0876016716847166,0.0519717371011088,0.47969472280891,0.92769241523835,0.0206569900687549,0.302571342655182,0.709430517183927,0.109075659518372,0.0758134853306118,0.219733097439597,0.976970255321976,0.718216129533986,0.828593075218647
"5","Acidobacteria",0.876824554349832,0.0065519255830675,0.00796106919687683,0.47969472280891,0.92769241523835,0.0228622358034122,0.882215133076822,0.705999799528757,1,0.255465706779662,0.181036200791168,0.103446500008581,0.0346199654707769,0.0259649741030827
"6","Actinobacteria",0.045169321058344,0.229733390682476,0.059789125368259,0.47969472280891,0.92769241523835,0.00146676852559206,0.186384206607314,0.740364825197266,0.194451871318519,0.613431372955166,0.165702761154192,0.0254483450206407,0.358735259843182,0.522216937429593
"7","Firmicutes",0.100665832205201,0.199324136071541,0.00739330591109766,0.47969472280891,0.92769241523835,0.00146676852559206,0.160936949659401,0.160936949659401,0.109075659518372,0.613431372955166,0.588168735658975,0.0132554076773984,0.0346199654707769,0.788697479513786
"8","Gemmatimonadetes",0.045169321058344,0.229733390682476,0.00796106919687683,0.47969472280891,0.92769241523835,0.0161711229946523,0.927264473525232,0.927264473525232,0.160193000869316,0.0519299482061654,0.181036200791168,0.0254483450206407,0.0346199654707769,0.0259649741030827
"9","Chloroflexi",0.0308465888804794,0.249225947063317,0.00739330591109766,0.47969472280891,0.92769241523835,0.0117341482047364,0.186384206607314,0.927264473525232,0.174488739171118,0.0519299482061654,0.784191229401619,0.00429913556061284,0.358735259843182,0.0259649741030827
